red (635 nm),current (mA),0,0,0,-0.001,,current multiplier: ,,x0.001
,voltage (V),-0.37,-0.38,-0.37,-0.39,,,,
orange (570 nm),current,0,-0.002,0,0,,,,
,voltage,-0.56,-0.57,-0.55,-0.56,,1.6575E-22,,6.4E-31
yellow (540 nm),current,0,-0.001,0,0,,,,
,voltage,-0.72,-0.74,-0.73,-0.74,,,,
green (500 nm),current,0,-0.001,0,0.001,,,,
,voltage,-0.89,-0.93,-0.91,-0.87,,,,
blue (460 nm),current,0,-0.001,0,-0.001,,,,
,voltage,-1.12,-1.16,-1.11,-1.14,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Voltage,Frequency,,,,,,,
red,4.72441E+14,0.373333333,,0.001208796,c,,,,
orange,5.26316E+14,0.556666667,,0.001476054,c,,,,
yellow,5.55556E+14,0.73,,0.001690309,c,,,,
green,6E+14,0.9,,0.001876834,c,,,,
blue,6.52174E+14,1.115,,0.002089017,c,,,,
